aaa;bbb;ccc;ddd;eee;fff
48;29;16;16;15;29
65;30;18;19;18;28
65;25;11;11;11;25
87;29;23;23;23;29
51;27;9;9;8;26
66;24;10;10;10;22
67;15;2;2;2;14
79;31;27;27;27;32
82;24;16;17;17;25
75;25;12;12;12;23
69;25;12;12;12;24
74;21;10;12;12;23
83;32;25;26;25;31
75;31;21;21;21;31
69;29;15;15;15;28
65;27;17;17;17;27
61;24;8;9;8;24
69;15;1;1;1;15
62;16;1;1;1;16
73;23;8;8;8;22
62;23;9;9;10;24
62;27;8;8;7;25
76;31;23;23;22;31
56;21;5;4;4;19
60;22;6;6;5;21
71;15;1;1;1;13
79;26;18;17;17;25
41;26;13;14;12;28
52;17;1;1;1;16
62;28;12;12;12;27
52;29;15;17;15;29
63;28;16;16;15;27
56;33;18;19;18;33
66;12;1;1;1;13
65;22;11;11;11;22
72;24;9;9;10;23
61;25;11;12;11;25
71;27;18;18;19;26
66;24;10;10;10;23
64;26;13;14;14;27
67;25;13;13;13;25
47;19;2;2;1;20
76;23;15;14;15;25
53;24;5;5;5;24
59;21;8;8;9;21
54;25;7;7;7;24
62;22;7;7;6;22
69;26;17;17;18;26
66;24;15;16;16;25
50;28;11;11;10;28
55;25;7;7;7;25
88;29;22;22;23;29
55;24;8;8;7;24
59;25;8;8;8;24
68;29;15;15;15;29
68;15;1;0;1;15
58;23;8;8;8;21
63;25;11;12;12;24
73;24;11;11;11;23
69;25;11;11;11;23
75;37;28;28;28;37
65;33;19;21;20;34
88;29;23;22;22;27
58;21;5;5;4;22
48;28;12;12;11;29
66;26;16;15;16;25
67;20;5;6;6;21
65;23;9;9;10;23
49;25;11;11;10;25
76;31;21;22;22;31
85;24;14;14;15;24
68;35;20;21;20;34
61;17;1;1;1;16
60;23;7;7;7;23
70;26;12;12;13;25
79;28;21;21;21;28
65;24;12;12;11;22
67;20;5;6;6;21
71;27;15;16;16;28
71;19;7;7;7;19
56;19;2;2;2;19
67;21;5;5;6;22
62;21;6;6;5;19
80;25;16;17;17;24
70;27;13;13;13;26
60;22;6;6;5;21
59;25;12;12;11;24
61;32;20;21;20;32
80;31;24;24;24;30
74;27;16;16;17;27
70;22;10;10;10;23
68;20;6;7;7;19
71;27;10;11;11;26
65;29;14;14;13;27
62;22;7;8;7;21
63;28;11;11;10;26
65;24;10;10;10;24
63;23;9;9;10;24
79;29;22;23;23;30
63;24;6;7;7;23
61;16;0;0;0;15
67;23;6;7;7;22
65;27;10;11;11;25
66;25;6;7;6;23
81;29;21;22;21;28
59;16;2;2;2;16
65;25;11;12;12;24
67;22;4;4;4;22
61;22;11;12;13;23
62;24;10;9;10;23
73;28;13;13;12;28
47;27;6;8;6;27
72;36;29;30;29;37
59;23;7;7;7;23
75;35;22;22;22;34
47;21;3;3;3;22
73;28;13;15;13;29
62;18;4;5;5;18
73;23;10;10;9;23
46;29;10;11;10;30
66;26;10;10;9;26
67;12;1;1;0;11
62;31;24;24;23;31
78;34;23;25;24;35
69;25;17;17;16;24
61;32;24;25;24;32
70;28;15;16;14;27
35;29;18;18;18;29
57;31;17;18;17;32
78;32;15;16;15;31
61;22;2;3;2;22
73;32;20;22;21;33
74;30;20;20;20;30
64;35;18;19;18;36
55;14;1;2;1;14
53;14;5;6;6;12
68;24;15;16;15;24
48;31;19;19;18;31
62;31;17;18;17;31
44;22;5;5;5;22
60;29;13;13;13;28
78;33;18;19;18;33
60;28;11;13;12;28
62;29;14;15;14;29
58;28;13;14;13;29
66;28;19;20;19;28
54;28;12;14;13;28
66;37;25;26;25;37
77;34;20;21;19;34
55;22;4;4;3;22
45;30;12;13;12;30
63;40;23;24;23;39
74;34;22;22;21;34
65;23;9;9;9;24
73;32;21;22;21;33
64;16;0;0;0;15
58;26;12;13;12;26
66;11;0;1;0;11
76;29;17;17;17;29
65;26;15;16;15;27
73;31;20;20;20;30
84;38;30;32;31;38
69;27;16;16;15;27
67;29;15;15;15;27
45;25;7;9;7;26
67;29;19;20;19;29
66;33;24;24;23;33
71;24;9;11;9;24
60;24;13;14;13;24
63;26;8;8;8;26
63;30;23;23;22;30
68;24;10;10;10;24
57;20;5;5;4;19
70;28;12;13;12;27
64;32;19;20;20;33
45;32;14;16;15;33
65;28;13;13;12;28
61;34;23;24;23;34
66;32;12;13;12;33
45;30;14;15;13;29
66;24;7;7;7;24
61;30;16;17;16;30
55;23;1;1;1;23
66;28;19;18;17;28
72;28;13;14;13;29
62;25;12;13;12;25
60;33;20;21;20;32
60;22;8;9;8;21
62;33;24;25;24;33
